transaction_id,customer_id,amount_inr,previous_success_rate,previous_failures,days_since_last_payment,customer_tenure_days,is_returning_customer,checkout_time_sec,payment_method,failure_reason,retry_count,action,recovered,recovered_amount,recovery_probability_true
TX000000,C00000,28358,0.476,3,90,1282,1,83,NetBanking,insufficient_funds,1,reminder,0,0,0.3498
TX000001,C00001,18827,0.758,5,148,358,1,75,UPI,bank_decline,2,retry,0,0,0.3569
TX000002,C00002,20588,0.477,2,89,543,0,41,UPI,authentication_failed,0,retry,0,0,0.2312
TX000003,C00003,26936,0.812,5,173,914,1,417,UPI,bank_decline,0,payment_link,0,0,0.4596
TX000004,C00004,17433,0.783,3,56,1174,1,174,UPI,bank_decline,0,retry,1,17433,0.5695
TX000005,C00005,23315,0.296,4,15,782,0,297,Wallet,authentication_failed,2,retry,0,0,0.0496
TX000006,C00006,25042,0.843,4,83,495,0,292,Wallet,technical_error,0,reminder,1,25042,0.4359
TX000007,C00007,6911,0.275,4,177,743,0,150,UPI,bank_decline,0,retry,0,0,0.2894
TX000008,C00008,1854,0.454,1,28,699,1,315,UPI,authentication_failed,0,reminder,1,1854,0.5397
TX000009,C00009,9144,0.98,2,70,308,1,47,UPI,timeout,0,retry,1,9144,0.7378
TX000010,C00010,8694,0.721,0,15,295,1,273,UPI,insufficient_funds,1,reminder,1,8694,0.4971
TX000011,C00011,26231,0.885,5,28,993,1,65,NetBanking,timeout,0,payment_link,1,26231,0.6429
TX000012,C00012,27396,0.941,2,90,722,0,255,Card,insufficient_funds,0,reminder,0,0,0.4539
TX000013,C00013,356,0.412,2,37,633,0,335,UPI,insufficient_funds,2,reminder,0,0,0.2339
TX000014,C00014,15093,0.837,4,179,343,0,16,UPI,bank_decline,0,reminder,1,15093,0.394
TX000015,C00015,24672,0.498,2,151,1001,1,16,UPI,timeout,0,retry,1,24672,0.4608
TX000016,C00016,4116,0.252,4,110,942,0,77,UPI,timeout,2,reminder,0,0,0.1741
TX000017,C00017,23952,0.285,0,129,1263,1,72,UPI,bank_decline,2,payment_link,0,0,0.104
TX000018,C00018,3748,0.301,4,165,501,1,296,UPI,authentication_failed,0,reminder,1,3748,0.4093
TX000019,C00019,14144,0.705,3,27,484,1,296,UPI,insufficient_funds,2,reminder,0,0,0.3808
TX000020,C00020,24530,0.713,4,69,983,0,238,UPI,authentication_failed,2,reminder,0,0,0.2215
TX000021,C00021,9230,0.878,4,123,816,1,257,UPI,bank_decline,1,reminder,1,9230,0.4589
TX000022,C00022,10379,0.436,1,78,1494,0,388,NetBanking,technical_error,1,payment_link,1,10379,0.3306
TX000023,C00023,8497,0.81,1,175,1177,1,36,UPI,bank_decline,0,reminder,1,8497,0.5328
TX000024,C00024,21640,0.413,4,20,1426,0,215,Card,authentication_failed,1,retry,0,0,0.1491
TX000025,C00025,7795,0.451,0,103,1164,0,266,UPI,bank_decline,0,reminder,0,0,0.3951
TX000026,C00026,29715,0.725,4,36,1175,1,277,Wallet,insufficient_funds,2,reminder,1,29715,0.3241
TX000027,C00027,13463,0.514,0,58,1135,0,258,Card,authentication_failed,0,retry,0,0,0.2701
TX000028,C00028,14448,0.998,3,27,372,0,131,UPI,timeout,0,retry,0,0,0.6216
TX000029,C00029,15235,0.453,2,53,387,1,130,UPI,timeout,1,retry,1,15235,0.5059
TX000030,C00030,17559,0.39,1,13,147,1,80,UPI,authentication_failed,2,retry,0,0,0.199
TX000031,C00031,16694,0.903,0,41,1424,0,257,Card,authentication_failed,2,payment_link,0,0,0.3661
TX000032,C00032,15381,0.898,4,103,720,1,334,Card,authentication_failed,2,reminder,0,0,0.4299
TX000033,C00033,29865,0.33,2,90,954,1,357,UPI,bank_decline,1,reminder,0,0,0.3029
TX000034,C00034,24268,0.47,1,168,197,1,320,UPI,authentication_failed,2,reminder,0,0,0.1945
TX000035,C00035,23821,0.608,3,133,639,0,222,UPI,authentication_failed,0,payment_link,1,23821,0.395
TX000036,C00036,21068,0.253,2,171,428,0,204,Card,authentication_failed,2,reminder,0,0,0.03
TX000037,C00037,18740,0.497,0,145,1146,0,250,UPI,timeout,0,retry,1,18740,0.3842
TX000038,C00038,10362,0.816,0,117,286,0,134,Card,timeout,1,reminder,0,0,0.397
TX000039,C00039,29671,0.815,4,45,958,1,148,Wallet,technical_error,2,payment_link,0,0,0.3495
